wine_id,wine_name,winery,year,wine_type,rating,num_reviews,price,country,region,style,style_body,style_acidity,intensity,sweetness,tannin
9724352,Blanco 2022,Siah,2022,White,4.1,151,26.0,España,Ribeiro,Spanish White,3,2,3.0,1.0,
8857161,Jirafas 2023,Viña Zorzal,2023,White,4.1,149,29.75,España,Navarra,Spanish White,3,2,3.0,1.0,
7578405,A'Via Treixadura 2022,O Morto Wines,2022,White,4.2,149,29.3,España,Ribeiro,Spanish White,3,2,3.0,1.0,
9692726,Tradición Rosal 2015,Quinta de Couselo,2015,White,4.2,149,28.15,España,Rías Baixas,Albariño (España),3,3,1.0,1.0,
10904016,Colección Garnacha Blanca 2023,Bodega Sommos,2023,White,4.0,149,12.95,España,Somontano,Spanish White,3,2,3.0,1.0,
11051137,Torre do Olivar Expresion 2023,Pazo do Mar,2023,White,4.0,149,9.85,España,Ribeiro,Spanish White,3,2,3.0,1.0,
9663088,Albillo Mayor 2023,Tresmano - Tr3smano,2023,White,4.3,148,39.26,España,Ribera del Duero,Spanish White,3,2,3.0,1.0,
6334643,Blanco 2022,Atlántida,2022,White,4.2,147,27.2,España,Cádiz,Spanish White,3,2,3.0,1.0,
4386804,Cuarenta Vendimias Verdejo 2024,Cuatro Rayas,2024,White,4.0,147,6.86,España,Rueda,Verdejo (España),3,3,2.0,2.0,
8688549,Cap de Creus Pla de Tudela Blanc 2022,Espelt,2022,White,4.1,147,42.0,España,Empordà,Spanish White,3,2,3.0,1.0,
6913531,Godello 2021,O Morto Wines,2021,White,4.3,147,29.0,España,Ribeiro,Spanish Galicia Godello White,3,3,3.0,1.0,
1151474,Finca Arantei Single Vineyard Albariño 2021,La Val,2021,White,4.0,146,17.1,España,Rías Baixas,Albariño (España),3,3,1.0,1.0,
11137532,Roda I Blanco 2021,Bodegas Roda,2021,White,4.3,146,59.75,España,Rioja,Rioja Blanco (España),3,3,4.5,1.5,
7499150,Amadeus Treixadura 2022,Viña Costeira,2022,White,4.1,145,13.45,España,Ribeiro,Spanish White,3,2,3.0,1.0,
8757442,Grand Cruz del Calvario 2024,Bimbache,2024,White,4.1,143,36.86,España,El Hierro,Spanish Islas Canarias White,2,3,2.0,1.5,
12314757,Reserva Blanco 2018,Hacienda López de Haro,2018,White,4.1,143,13.9,España,Rioja,Rioja Blanco (España),3,3,4.5,1.5,
8046811,Senda Matapalos 2022,Marenas,2022,White,4.1,142,18.05,España,Andalucía,Spanish White,3,2,3.0,1.0,
9782072,El Tòfol Macabeu 2020,L'Enclòs de Peralba,2020,White,4.1,141,34.0,España,Cataluña,Spanish White,3,2,3.0,1.0,
11091843,Álvaro del Saz Selección Chardonnay 2022,Bodegas del Saz,2022,White,4.0,141,8.64,España,La Mancha,Chardonnay (España),4,3,3.0,1.0,
7420835,La Memòria Garnatxa Blanca 2022,Vins de la Memòria,2022,White,4.1,141,28.0,España,Terra Alta,Spanish Catalunya Grenache Blanc White,3,2,3.0,2.0,
6835073,Ultreia Godello 2023,Raúl Pérez,2023,White,4.0,141,15.89,España,Bierzo,Spanish White,3,2,3.0,1.0,
7317664,Sobrenatural de Menade Verdejo Natural 2016,Menade,2016,White,4.2,140,54.9,España,Castilla y León,Verdejo (España),3,3,2.0,2.0,
8012300,Asadoira Godello Sobre Lias 2023,Valdesil,2023,White,4.0,139,59.9,España,Valdeorras,Spanish Galicia Godello White,3,3,3.0,1.0,
10605457,Fonoll Xarel-Lo - Xarel-Lo Vermell 2024,Bodegas Torre del Veguer,2024,White,4.0,138,12.29,España,Penedès,Spanish White,3,2,3.0,1.0,
10453608,Miut El Jabonero 2021,Toro Albalá,2021,White,4.0,137,24.9,España,Montilla-Moriles,Spanish White,3,2,3.0,1.0,
6622455,Blanc de Closos Vinyes Velles Old Vines 2024,Costers del Priorat,2024,White,4.0,137,24.7,España,Priorato,Spanish Catalunya Grenache Blanc White,3,2,3.0,2.0,
10484389,El Pacto del Alto Najerilla Blanco 2022,El Pacto,2022,White,4.0,137,17.05,España,Rioja,Rioja Blanco (España),3,3,4.5,1.5,
12131452,Godello 2023,Michelini i Mufatto,2023,White,4.0,136,30.8,España,Bierzo,Spanish White,3,2,3.0,1.0,
9235820,O Pequeno Mein 2021,Viña Meín,2021,White,4.0,136,33.0,España,Ribeiro,Spanish White,3,2,3.0,1.0,
8658059,Resilencia Viognier 2022,Bodega Gonzalo Beltrán,2022,White,4.1,136,10.8,España,Sierras de Málaga,Spanish White,3,2,3.0,1.0,
7753706,L'Horabona Blanc Sec 2022,Les Freses,2022,White,4.1,135,22.7,España,Alicante,Spanish White,3,2,3.0,1.0,
2338467,Blanco Afrutado 2022,Bodega 1242 m.,2022,White,4.0,135,11.66,España,Vino de España,Spanish White,3,2,3.0,1.0,
7682661,Blanco 2024,Marola & Mass,2024,White,4.0,135,12.0,España,Rías Baixas,Albariño (España),3,3,1.0,1.0,
12532489,Valdejaros Verdejo Criado Sobre Lías 2023,Jaro,2023,White,4.0,135,7.7,España,Rueda,Verdejo (España),3,3,2.0,2.0,
7197507,Albariño Do Ferreiro Lourido 2023,Bodegas Gerardo Mendez,2023,White,4.1,134,29.86,España,Rías Baixas,Albariño (España),3,3,1.0,1.0,
8595055,Blanco 2024,Juan Gil,2024,White,4.0,134,16.95,España,Jumilla,Spanish White,3,2,3.0,1.0,
1646826,La del Vivo (Lomas de Valtuille) 2022,La Vizcaína,2022,White,4.1,133,21.5,España,Bierzo,Spanish White,3,2,3.0,1.0,
12370401,Stratum Wines Matas Altas Blanco 2024,Bodega Cerrón,2024,White,4.0,133,19.5,España,Jumilla,Spanish White,3,2,3.0,1.0,
11956205,La Tejera Garnacha - Macabeo 2022,Bodegas Frontonio,2022,White,4.1,132,70.95,España,Valdejalón,Spanish White,3,2,3.0,1.0,
1457926,Waltraud Riesling 2023,Familia Torres,2023,White,4.0,132,22.92,España,Penedès,Spanish White,3,2,3.0,1.0,
11514285,Ermita de San Gregorio Blanco Reserva 2022,Jesus Madrazo,2022,White,4.2,132,24.5,España,Rioja,Rioja Blanco (España),3,3,4.5,1.5,
6492988,Rioja Blanco Reserva 2012,Remírez de Ganuza,2012,White,4.4,131,60.5,España,Rioja,Rioja Blanco (España),3,3,4.5,1.5,
7418900,La Mujer Caballo Naranja 2021,Fil·loxera,2021,White,4.0,130,25.0,España,Valencia,Spanish White,3,2,3.0,1.0,
6140912,Garnacha Blanca 2022,Clos Ibai,2022,White,4.0,129,13.2,España,Rioja Alavesa,Rioja Blanco (España),3,3,4.5,1.5,
6538187,Godello 2023,Mar de Frades,2023,White,4.1,129,20.65,España,Rías Baixas,Spanish Galicia Godello White,3,3,3.0,1.0,
1174762,Nana Albariño 2022,Attis,2022,White,4.2,129,35.5,España,Rías Baixas,Albariño (España),3,3,1.0,1.0,
1954874,Vendetta 2021,Pedralonga,2021,White,4.4,129,57.0,España,Rías Baixas,Albariño (España),3,3,1.0,1.0,
10479520,Clos Es Vent Macabeu 2023,Vins Extrems,2023,White,4.1,129,16.98,España,Empordà,Spanish White,3,2,3.0,1.0,
12077827,Onna Malva Organic 2025,Canals Canals,2025,White,4.1,129,10.4,España,Penedès,Spanish White,3,2,3.0,1.0,
9378477,NVDE MCB 2022,Thunder Wine Makers,2022,White,4.1,128,22.9,España,Cataluña,Spanish White,3,2,3.0,1.0,
5261828,Aspriu Blanco 2019,Pardas,2019,White,4.1,127,60.3,España,Penedès,Spanish White,3,2,3.0,1.0,
11319692,Tormenta 2022,Veronica Ortega,2022,White,4.0,126,38.5,España,Bierzo,Spanish White,3,2,3.0,1.0,
7386777,Santa Cruz de Artazu Blanco 2021,Artadi,2021,White,4.0,126,25.0,España,Navarra,Spanish White,3,2,3.0,1.0,
10370613,Juan Bello 2022,Puro Rofe,2022,White,4.0,126,34.6,España,Lanzarote,Spanish Islas Canarias White,2,3,2.0,1.5,
13148109,A Vilerma 2024,José Pariente,2024,White,4.0,126,13.6,España,Ribeiro,Spanish White,3,2,3.0,1.0,
11057736,Nauda Blanco 2023,Alonso & Pedrajo,2023,White,4.0,125,19.9,España,Rioja,Rioja Blanco (España),3,3,4.5,1.5,
12096248,San Gregorio Blanco 2022,Contino,2022,White,4.0,125,29.6,España,Rioja,Rioja Blanco (España),3,3,4.5,1.5,
7009250,Barón de Rivero Semi Dulce 2024,Málaga Virgen,2024,White,4.2,124,6.5,España,Málaga,Spanish White,3,2,3.0,1.0,
7454849,CIPMA Blanco 2020,Bodegas Marisol Rubio,2020,White,4.0,124,23.95,España,La Mancha,Spanish White,3,2,3.0,1.0,
